0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,7,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,4,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,27,3
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,2,9,1,5,3,11
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,3,9,27,0,1,3
0,1,3,0,0,0,0,2,0,0,0,0,0,0,1,0,3,14,1,8,8,3,2,0
2,0,0,0,3,0,1,0,0,0,0,0,0,1,3,0,1,3,11,2,2,0,4,0
0,0,0,0,0,4,3,0,0,0,0,0,0,0,1,6,4,19,14,1,1,2,3,0
0,0,0,0,0,5,3,5,0,0,0,0,0,7,1,0,41,0,3,1,1,1,0,1
0,0,0,0,0,1,6,3,0,1,0,1,0,22,11,32,2,1,0,0,7,0,2,0
0,0,0,0,0,1,6,5,0,14,1,5,0,34,0,16,1,0,0,0,1,15,0,0
3,2,0,1,2,11,1,9,1,21,9,6,25,0,0,36,1,2,0,1,2,0,10,0
5,1,1,2,0,14,11,16,3,17,1,29,54,0,2,39,0,0,0,1,0,0,7,0
6,0,4,0,0,12,0,6,8,25,30,27,35,2,6,32,0,0,8,0,2,0,8,0
1,1,0,0,0,3,0,8,42,4,0,2,44,1,6,28,1,4,0,6,0,1,0,0
7,0,0,0,0,4,0,1,40,2,2,0,41,1,2,29,1,15,0,6,0,10,0,0
0,3,0,0,0,5,0,0,39,0,0,2,28,1,5,25,2,7,0,6,0,10,0,0
0,4,0,0,5,5,0,0,34,0,0,4,26,0,1,28,0,3,0,7,0,9,0,1
0,0,0,0,0,0,0,0,39,0,0,2,21,0,0,24,1,3,0,15,0,11,2,2
0,0,0,0,0,0,0,0,37,0,0,1,15,4,4,19,0,4,0,6,0,14,0,0
0,0,0,0,0,0,0,0,31,0,0,5,18,5,0,18,0,6,0,2,0,0,11,0
0,0,0,0,0,0,0,0,30,0,4,0,25,0,1,0,19,2,0,0,0,0,10,0
0,0,0,0,0,0,0,0,36,0,2,0,22,0,0,2,19,0,4,0,0,0,9,0
0,0,0,0,0,0,0,0,35,2,0,14,2,0,3,13,9,1,0,0,0,0,10,0
